r,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH0,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4
10,0.9852380954744344,1.7669532651137596,0.721377707507978,0.7654377325700772,2.5968725074536443,0.785305919654789,0.6405618512541159,0.9309718760645626,2.267369645652681,1.0862014076516862,0.634601730725575,1.6840836877895318,0.6748281936998034,1.0772686607649649,1.0643882809698089,2.1273462293431193,2.5418897256797117,1.3335798216128,1.1098183409742801,2.7433860070741956
11,0.949172483378176,1.7036516117515588,0.7497879499315423,0.7469694892794881,2.651890987086733,0.7950568372766547,0.6687132479396968,0.8841297593474119,2.2153123094335156,0.902079773857042,0.5889982321873133,1.8178258517389503,0.704908244543879,1.1050402100071453,1.1477248929942734,2.0929300878807764,2.4726553981371455,1.3850353269354805,1.1547664109746372,2.6950673003393204
12,1.0117661422409392,1.7757872457730104,0.7108473474099849,0.799023015658472,2.632866582410625,0.8522307908970184,0.6509854515440926,1.0239635857660938,2.3161989375700323,1.3553992876760876,0.8392414670722568,1.7755158152367727,0.6605775034181293,1.1786498428526542,1.07864393128579,2.1469403413007715,2.5885397429491372,1.4106472103193153,1.1528460251567236,2.821047214820201
13,0.9065773672636968,1.7458195959244265,0.7393386424619326,0.7442246127918232,2.569739793545924,0.6713861574995131,0.5399497142775365,0.8081835979196943,2.257444770426801,0.8449579076287705,0.4376074416923065,1.541464695272471,0.6663844869449845,1.0061673333996854,0.9811238736841087,2.0709988170834586,2.466141663084729,1.215337256477917,1.0392864545416145,2.600211913770573
14,0.9886828377489728,1.7032774121909269,0.7443473998438189,0.7686705033654581,2.6892431080679877,0.8652816545868205,0.6608764235309436,1.0049554214280467,2.247257437088655,1.2459073909602547,0.7819339980704457,1.9283373381498294,0.7012543190546439,1.1958301313954998,1.1948089567529057,2.1362113665456666,2.5638623684948887,1.4841638417681247,1.2342305435542757,2.7937614861023032
15,0.9789018102479147,1.7037326117053246,0.7520685749229998,0.7461168353395069,2.6598940666469155,0.8021016942105048,0.6645204119122213,0.9036313722862469,2.2142402011117444,1.061313713917376,0.704003190780127,1.8374932581859726,0.7061501225590413,1.1191704008213625,1.1807780166818622,2.119575473786357,2.5164387190090958,1.3986237677176978,1.1964373322562176,2.71131015764629
16,0.9419485659516974,1.755825111325526,0.7019553473246163,0.7778359913436218,2.6110614812766593,0.7264045276712829,0.48652413795001004,0.8924152023261629,2.303661827637498,0.9947905228378626,0.514790788946832,1.6294833260884776,0.6422332057812707,1.065420630800459,1.0105737365423275,2.1002847380081486,2.536228395382476,1.2915048450818563,1.0977630873997228,2.67749902371859
17,0.9942186238430855,1.7707614441910524,0.6893349830677646,0.7764693476325212,2.603962651664938,0.8194854989407153,0.6368696650528309,0.9752868528810873,2.2831817015931213,1.239577051981581,0.7208269012829073,1.7257875729605905,0.6743523228177162,1.1341673185010606,1.0646129912147466,2.1303950404290726,2.5411160934633443,1.3668775964746194,1.1150528138586653,2.779415947272925
18,0.9642575904916261,1.7030176790811062,0.7414460224707846,0.777325264627417,2.6898424586750447,0.7823004724095687,0.5841073089241172,0.9054466498084098,2.2596926601766527,0.9710388461317018,0.5927960115622142,1.8428944067429753,0.6871569953889674,1.1359036727762328,1.1692711809734064,2.117321364618684,2.5365204988199133,1.3989860081080756,1.2078543601566967,2.6939739181326403
19,0.9666134984197761,1.7619274635318005,0.6770057255275667,0.7428840645441263,2.567523466032572,0.8109764882142313,0.6209394780797651,0.9291449308776126,2.2343524096757705,1.0863451040377814,0.6892662030605766,1.6683397327639593,0.6963882083460479,1.0543199750742887,1.0503573408987652,2.1107103365838102,2.4944660761939192,1.328125411298053,1.0720251296762222,2.7374834596927613
20,0.937279129175554,1.687584613985185,0.751220434624886,0.796094625037592,2.7013397125658183,0.7984086004913158,0.5299070092748508,0.9360586474607718,2.3042298727263963,0.9051376736970514,0.5254791134855619,1.8740268685062385,0.6503377143873171,1.1770117211351365,1.1366704238918506,2.108841962744553,2.543212479542147,1.4374260884920163,1.221844121180822,2.7223283406760834
21,0.9956729588524456,1.7027621292834163,0.7403587496969368,0.7844558260288726,2.6956641616575405,0.8533428321323806,0.5622965003290723,0.989121988197247,2.2698231587339794,1.30608523688928,0.8187937763104354,1.9210924861204917,0.6891625882735859,1.2192795098891085,1.1939503654016281,2.1391733568232922,2.5584940341045748,1.4720194033303884,1.239364851124978,2.782763425494194
